Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
HTAPP-100-SMP-1_TST_channel1,immune,malignant,immune,endothelium,malignant,stroma,immune,stroma,stroma,endothelium,immune,stroma,immune,endothelium,immune,,
HTAPP-100-SMP-1_TST_channel2,immune,malignant,immune,endothelium,malignant,stroma,immune,stroma,malignant,endothelium,immune,immune,stroma,,,,
HTAPP-102-SMP-11_TST_channel1,malignant,malignant,malignant,malignant,malignant,malignant,malignant,endothelium,immune,immune,malignant,stroma,,,,,
HTAPP-102-SMP-11_TST_channel2,malignant,malignant,malignant,malignant,malignant,malignant,immune,immune,endothelium,stroma,malignant,malignant,,,,,
HTAPP-114-SMP-21_TST_channel1,malignant,malignant,immune,malignant,immune,endothelium,stroma,stroma,immune,malignant,immune,endothelium,immune,,,,
HTAPP-114-SMP-21_TST_channel2,malignant,malignant,immune,endothelium,stroma,immune,stroma,malignant,immune,immune,endothelium,immune,immune,,,,
HTAPP-116-SMP-31_TST_channel1,malignant,malignant,malignant,immune,malignant,endothelium,malignant,stroma,malignant,immune,,,,,,,
HTAPP-116-SMP-31_TST_channel2,malignant,malignant,malignant,immune,malignant,endothelium,malignant,malignant,malignant,stroma,immune,malignant,,,,,
HTAPP-120-SMP-41_TST_channel1,malignant,stroma,endothelium,malignant,endothelium,stroma,stroma,stroma,immune,malignant,immune,endothelium,malignant,immune,immune,,
HTAPP-120-SMP-41_TST_channel2,stroma,malignant,endothelium,malignant,endothelium,stroma,immune,stroma,immune,malignant,malignant,stroma,malignant,immune,stroma,endothelium,
HTAPP-123-SMP-51_TST_channel1,malignant,malignant,malignant,malignant,malignant,malignant,immune,immune,endothelium,stroma,malignant,stroma,,,,,
HTAPP-123-SMP-51_TST_channel2,malignant,malignant,malignant,malignant,malignant,malignant,stroma,immune,immune,stroma,endothelium,,,,,,
HTAPP-126-SMP-81_TST_channel1,malignant,malignant,immune,immune,immune,endothelium,immune,stroma,immune,stroma,erythrocyte,erythrocyte,,,,,
HTAPP-126-SMP-81_TST_channel2,malignant,malignant,immune,immune,malignant,immune,immune,endothelium,stroma,erythrocyte,immune,stroma,,,,,
HTAPP-130-SMP-91_TST_channel1,malignant,malignant,malignant,malignant,malignant,malignant,stroma,,,,,,,,,,
HTAPP-130-SMP-91_TST_channel2,malignant,malignant,malignant,malignant,malignant,stroma,,,,,,,,,,,
HTAPP-136-SMP-102_TST_channel1,malignant,malignant,immune,immune,stroma,stroma,malignant,endothelium,malignant,immune,endothelium,immune,stroma,endothelium,,,
HTAPP-136-SMP-102_TST_channel2,malignant,malignant,immune,immune,stroma,stroma,malignant,endothelium,malignant,immune,stroma,endothelium,immune,endothelium,,,
HTAPP-141-SMP-111_TST_channel1,malignant,malignant,malignant,malignant,malignant,endothelium,stroma,malignant,stroma,immune,immune,,,,,,
HTAPP-141-SMP-111_TST_channel2,malignant,malignant,malignant,malignant,malignant,malignant,stroma,endothelium,stroma,immune,immune,,,,,,
HTAPP-141-SMP-119_TST_channel1,malignant,malignant,malignant,malignant,malignant,stroma,immune,stroma,immune,,,,,,,,
HTAPP-145-SMP-121_TST_channel1,immune,immune,malignant,endothelium,immune,malignant,immune,stroma,immune,stroma,immune,malignant,,,,,
HTAPP-145-SMP-121_TST_channel2,immune,immune,immune,malignant,immune,endothelium,malignant,immune,stroma,stroma,immune,malignant,immune,immune,,,
HTAPP-146-SMP-131_TST_channel1,malignant,malignant,malignant,immune,malignant,stroma,malignant,endothelium,malignant,malignant,immune,stroma,endothelium,,,,
HTAPP-146-SMP-131_TST_channel2,malignant,malignant,malignant,immune,malignant,stroma,malignant,malignant,endothelium,immune,stroma,malignant,immune,,,,
HTAPP-148-SMP-141_TST_channel1,stroma,malignant,stroma,endothelium,malignant,stroma,immune,stroma,malignant,immune,stroma,,,,,,
HTAPP-148-SMP-141_TST_channel2,stroma,malignant,stroma,endothelium,stroma,malignant,immune,stroma,malignant,immune,stroma,,,,,,
HTAPP-155-SMP-151_TST_channel1,malignant,malignant,malignant,malignant,malignant,immune,endothelium,immune,stroma,,,,,,,,
HTAPP-155-SMP-151_TST_channel2,malignant,malignant,malignant,malignant,malignant,immune,endothelium,stroma,immune,malignant,,,,,,,
HTAPP-159-SMP-171_fresh_channel1,malignant,malignant,malignant,malignant,endothelium,malignant,endothelium,endothelium,,,,,,,,,
HTAPP-163-SMP-181_fresh_channel1,endothelium,immune,endothelium,immune,stroma,endothelium,stroma,immune,malignant,endothelium,malignant,immune,malignant,malignant,,,
HTAPP-164-SMP-191_fresh_channel1,malignant,malignant,malignant,malignant,malignant,immune,malignant,malignant,immune,endothelium,endothelium,,,,,,
HTAPP-168-SMP-221_fresh_channel1,malignant,malignant,immune,immune,malignant,immune,malignant,immune,malignant,endothelium,immune,stroma,immune,immune,,,
HTAPP-168-SMP-221_fresh_channel2,malignant,malignant,immune,immune,immune,malignant,malignant,immune,endothelium,immune,stroma,immune,immune,endothelium,,,
HTAPP-171-SMP-231_TST_channel1,malignant,malignant,malignant,malignant,malignant,immune,endothelium,stroma,malignant,endothelium,malignant,,,,,,
HTAPP-184-SMP-241_TST_channel1,malignant,malignant,malignant,malignant,stroma,malignant,endothelium,malignant,immune,stroma,stroma,malignant,endothelium,,,,
HTAPP-194-SMP-251_TST_channel1,malignant,malignant,malignant,malignant,malignant,immune,immune,stroma,endothelium,,,,,,,,
HTAPP-195-SMP-261_TST_channel1,malignant,malignant,malignant,malignant,malignant,malignant,malignant,malignant,malignant,stroma,stroma,,,,,,
HTAPP-196-SMP-271_TST_channel1,malignant,malignant,malignant,immune,malignant,immune,endothelium,malignant,stroma,malignant,immune,erythrocyte,malignant,,,,
HTAPP-198-SMP-281_TST_channel1,malignant,malignant,immune,malignant,malignant,malignant,immune,immune,endothelium,stroma,malignant,stroma,immune,endothelium,immune,,
HTAPP-204-SMP-6601_TST-Anand_channel1,malignant,malignant,malignant,malignant,malignant,immune,immune,stroma,stroma,endothelium,,,,,,,
HTAPP-204-SMP-6601_TST-Michal_channel1,malignant,malignant,malignant,malignant,stroma,immune,malignant,malignant,immune,endothelium,stroma,,,,,,
HTAPP-233-SMP-361_TST_channel1,malignant,malignant,stroma,immune,malignant,malignant,endothelium,malignant,endothelium,malignant,,,,,,,
HTAPP-244-SMP-451_CST_channel1,malignant,malignant,malignant,malignant,malignant,immune,stroma,immune,,,,,,,,,
HTAPP-244-SMP-451_EZ_channel1,malignant,malignant,malignant,malignant,malignant,malignant,stroma,immune,immune,,,,,,,,
HTAPP-244-SMP-451_NST_channel1,malignant,malignant,malignant,malignant,malignant,malignant,stroma,immune,immune,endothelium,malignant,,,,,,
HTAPP-244-SMP-451_TST_channel1,malignant,malignant,malignant,malignant,immune,malignant,endothelium,immune,stroma,malignant,,,,,,,
HTAPP-312-SMP-901_fresh-T1_channel1,malignant,malignant,malignant,malignant,malignant,malignant,malignant,immune,,,,,,,,,
HTAPP-312-SMP-902_fresh-C4-T2_channel1,malignant,endothelium,stroma,stroma,immune,immune,stroma,,,,,,,,,,
HTAPP-312-SMP-902_fresh-LTM-T2_channel1,malignant,malignant,immune,immune,stroma,malignant,immune,immune,malignant,malignant,,,,,,,
HTAPP-437-SMP-1861_TST_channel1,stroma,malignant,stroma,malignant,endothelium,stroma,immune,endothelium,malignant,stroma,immune,,,,,,
HTAPP-437-SMP-1861_TST_channel2,malignant,stroma,stroma,stroma,malignant,endothelium,immune,stroma,endothelium,malignant,stroma,,,,,,
HTAPP-527-SMP-6767_TST_channel1,stroma,malignant,immune,malignant,endothelium,stroma,stroma,endothelium,stroma,malignant,immune,stroma,,,,,
HTAPP-527-SMP-6767_TST_channel2,stroma,malignant,malignant,immune,endothelium,immune,stroma,stroma,malignant,immune,stroma,stroma,immune,malignant,stroma,,
HTAPP-656-SMP-3481_TST_channel1,malignant,malignant,stroma,malignant,endothelium,endothelium,endothelium,endothelium,malignant,malignant,immune,malignant,endothelium,,,,
HTAPP-672-SMP-8509_fresh_channel1,malignant,immune,malignant,malignant,malignant,immune,stroma,endothelium,stroma,malignant,malignant,immune,stroma,,,,
HTAPP-672-SMP-8509_fresh_channel2,malignant,malignant,immune,malignant,malignant,immune,stroma,stroma,endothelium,malignant,malignant,immune,immune,,,,
HTAPP-683-SMP-6769_TST_channel1,malignant,malignant,malignant,immune,endothelium,immune,malignant,malignant,immune,immune,,,,,,,
HTAPP-683-SMP-6769_TST_channel2,malignant,malignant,malignant,immune,immune,endothelium,malignant,malignant,malignant,malignant,immune,stroma,,,,,
HTAPP-756-SMP-6779_CST_channel1,malignant,malignant,malignant,malignant,malignant,immune,malignant,malignant,endothelium,endothelium,,,,,,,
HTAPP-756-SMP-6779_TST_channel1,malignant,malignant,malignant,malignant,malignant,immune,malignant,malignant,endothelium,endothelium,,,,,,,
HTAPP-768-SMP-6781_TST_channel1,stroma,malignant,stroma,immune,endothelium,malignant,stroma,endothelium,endothelium,immune,immune,stroma,,,,,
HTAPP-768-SMP-6781_TST_channel2,stroma,malignant,stroma,endothelium,immune,malignant,stroma,immune,endothelium,endothelium,stroma,,,,,,
HTAPP-800-SMP-6783_TST_channel1,malignant,malignant,malignant,immune,immune,malignant,malignant,immune,endothelium,immune,stroma,immune,immune,,,,
