"iNMF1","iNMF2","iNMF3","iNMF4","iNMF5","iNMF6","iNMF7","iNMF8"
"PLD3","SAP18","TANC2","AUTS2","RPL34","THRB","TROAP","FTX"
"ATP6V0B","UBC","MED13L","SLC44A5","TXNRD1","AC138627.1","POLQ","AC012358.3"
"HSP90AB1","MYL6","TRIO","DST","PTMA","AC092920.1","PARPBP","AC006059.1"
"TMEM59L","CSNK2B","CELF1","SYN3","RPL3","AC120193.1","ARHGAP11A","AC027288.3"
"MT-ND5","SKP1","DIP2C","KCTD16","RPS16","AC113414.1","RFC3","AC001226.2"
"CHGB","ATP5ME","MALAT1","CDH18","RPL4","LINC02398","CKAP2L","TOM1L1"
"RTN1","NDUFB4","PRRC2C","PDE4DIP","RPS7","MEGF11","RACGAP1","LUC7L3"
"SERINC3","BEX3","ZSWIM6","NLGN1","FTH1","LINC00862","CENPK","AC011092.2"
"HSP90AA1","ELOB","HERC2","KCND2","BAIAP2L1","SPRY4-AS1","RTKN2","MAML3"
"MT-ND2","EDF1","BRWD1","ANKS1B","RPL37A","MYO3B","BUB1B","FILIP1L"
"RTN4","NDUFB9","JMJD1C","ATP2B4","RPLP0","CPED1","DEPDC1B","RORA-AS1"
"SLC22A17","UCHL1","TTC3","MAGI2","RPL11","MAML2","TTK","SGCE"
"SEZ6L2","MGST3","TCF12","RIMS2","RPL27","LINC01588","AC091057.6","ANKUB1"
"MT-ND1","RPS21","AGAP1","PCLO","RPS18","AC104461.1","ECT2","AP000311.1"
"THY1","PSMC5","TNRC6B","FRMD4A","TMSB4X","GMDS-DT","CDCA2","AP001011.1"
"IDS","NDUFB2","TNRC6A","GRIK2","RPL23A","TRHDE","ESCO2","IL7"
"CALM1","SNRPN","USP34","PDE4D","RPS14","ABI3BP","KIF23","RORA"
"NORAD","SOD1","GTF2I","AHI1","RPL35A","PARD3B","BUB1","RAPH1"
"CTSB","COX7A2","CPSF6","FMN1","RPS11","NEXN","BIRC5","ZNF565"
"MAP1A","WDR83OS","ZFAND3","DNM3","RPL14","CEP112","NUF2","BCL2L14"
"PCSK1N","NDUFA11","KMT2E","CTNND2","RPL13A","AC084816.1","KIF15","AC074032.1"
"MT-ND4","ATP5PF","ATXN2","PCDH9","RPL38","MIR2052HG","ANLN","EML5"
"OLFM1","RPS10","ANKRD11","CHRM2","RPLP1","FAM184B","DTL","MAK"
"CYB561","SRP14","SBF2","BACH2","RPS6","KCNMB2-AS1","CENPE","TIMP3"
"MT-CO1","PSMB6","UBR5","LINGO2","TPT1","NUP210L","KIFC1","TCF4-AS1"
"MT-CYB","NME1","NKTR","LRRTM4","RPS27A","WDR49","CIT","AC093879.1"
"PEG10","ATP5PD","RERE","TMTC2","RPL32","MAP3K19","NCAPG","CACNA2D3"
"L1CAM","NDUFC2","NF1","MAP7","RPL6","CORIN","PBK","STARD4-AS1"
"MT-CO2","GABARAPL2","MED13","ADGRL3","TMSB10","CPM","KIF11","DUOX1"
"MT-ND3","MIF","VPS13C","NRG1","RPL29","AC078923.1","NUSAP1","KCNQ1"
"DKK3","UQCR11","MAML3","PTPRD","RPL30","LINC00486","ATAD2","AL031428.1"
"MT-CO3","RPL39","ARID1B","ANK2","RPL27A","AEBP2","MELK","AL117190.2"
"YWHAG","COX5B","ZNF638","CREB5","RPS9","PRKG1","NDC80","SNAP25-AS1"
"B2M","HSPE1","NBEA","PLCB1","RPS8","GMDS","KIF14","SLC8A1-AS1"
"NEFL","UBL5","EML5","DPYD","RPS2","COL21A1","CDC25C","MALAT1"
"CLU","RPL18A","DDX17","GRID2","RPS4X","AL391117.1","TPX2","PDE5A"
"SYT11","RPS26","MYT1L","NRG3","APOO","AC058822.1","CDK1","LRTM1"
"ATP1B1","NEDD8","ZNF292","DGKB","RPS3","ULK4","KNL1","RAB11A"
"MT-ATP6","ATP5PO","DST","PPP2R2B","RPL41","STK33","AURKB","SPDYE3"
"CANX","COX8A","PTPRN2","CTNNA2","RPS15","RUNX1","KIF18B","AL109930.1"
"SYT4","RPL9","RIMBP2","MAP2","RPS24","GPC5","APOLD1","RBMS3-AS3"
"CD81","SUMO2","ZMYM2","LSAMP","RPL8","RFTN2","CENPF","AC015923.1"
"SARAF","ATP5MF","MSI2","CNTNAP2","RPL10","DNAH14","GTSE1","PDXDC1"
"NFE2L1","RPL26","KANSL1","DLG2","RPL15","SH3D19","BRIP1","AC009554.1"
"SERINC1","VAMP2","BIRC6","ANK3","RPS23","AC011287.1","SPC25","AC010127.1"
"PTPRN","PRDX2","AUTS2","EPHA6","RPL7","LRMDA","MKI67","AC012404.1"
"MAP1B","H3F3A","KMT2C","NREP","RPS19","AC024901.1","ASPM","RBMS3-AS2"
"TIMP2","CALM2","BPTF","NRXN1","EEF1A1","NFE2L3","SMC4","AP000462.1"
"PSAP","COX6A1","LUC7L3","NAV3","RPL19","AL390957.1","DIAPH3","CRLF3"
"SCG2","OAZ1","TCF4","IQCJ-SCHIP1","RPL13","IL12RB2","TOP2A","AP003086.2"
