"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TOP2A",0,5.97662826448528,0.729,0.025,0,"1","TOP2A"
"DIAPH3",0,4.65848657838401,0.757,0.073,0,"1","DIAPH3"
"BRIP1",0,4.41999662236879,0.724,0.063,0,"1","BRIP1"
"SMC4",0,4.07251174356642,0.741,0.084,0,"1","SMC4"
"ATAD2",0,3.80397206364539,0.673,0.078,0,"1","ATAD2"
"CENPF",0,4.78857099375047,0.627,0.035,0,"1","CENPF"
"SPC25",0,4.57221131823252,0.599,0.037,0,"1","SPC25"
"ASPM",0,5.62857531221338,0.576,0.021,0,"1","ASPM"
"EZH2",0,2.61429095805975,0.747,0.219,0,"1","EZH2"
"KIF18B",0,5.479683312215,0.539,0.019,0,"1","KIF18B"
"CENPK",0,3.9063043588571,0.568,0.048,0,"1","CENPK"
"SYNE2",0,2.50326336295416,0.743,0.225,0,"1","SYNE2"
"MKI67",0,5.44577297236044,0.532,0.015,0,"1","MKI67"
"GTSE1",0,5.33870858714154,0.531,0.018,0,"1","GTSE1"
"DTL",0,4.48310538570741,0.539,0.028,0,"1","DTL"
"RFC3",0,2.42133566005934,0.804,0.294,0,"1","RFC3"
"CIT",0,3.47675180887208,0.611,0.104,0,"1","CIT"
"APOLD1",0,4.33655726896115,0.568,0.064,0,"1","APOLD1"
"HELLS",0,2.76096377499953,0.665,0.163,0,"1","HELLS"
"FANCI",0,3.76362325781472,0.551,0.055,0,"1","FANCI"
"TMPO",0,2.69674684453727,0.656,0.16,0,"1","TMPO"
"MMS22L",0,2.68900730853335,0.663,0.168,0,"1","MMS22L"
"MELK",0,4.8951521537025,0.517,0.023,0,"1","MELK"
"POLQ",0,3.8529401985799,0.541,0.053,0,"1","POLQ"
"NUF2",0,3.02178985587035,0.584,0.101,0,"1","NUF2"
"CEP128",0,2.62192705066421,0.652,0.176,0,"1","CEP128"
"NCAPG",0,4.67375130114381,0.492,0.025,0,"1","NCAPG"
"KNL1",0,4.73764063196731,0.492,0.026,0,"1","KNL1"
"CIP2A",0,3.49852376462061,0.527,0.064,0,"1","CIP2A"
"NUSAP1",0,4.80417106656443,0.489,0.026,0,"1","NUSAP1"
"MIS18BP1",0,2.7605039800934,0.583,0.123,0,"1","MIS18BP1"
"FANCA",0,3.05256961710642,0.546,0.09,0,"1","FANCA"
"KIF15",0,4.51434078876149,0.483,0.028,0,"1","KIF15"
"C21orf58",0,3.39827798127448,0.537,0.083,0,"1","C21orf58"
"AP001347.1",0,2.60519418888665,0.595,0.147,0,"1","AP001347.1"
"AURKB",0,6.61596742214529,0.45,0.006,0,"1","AURKB"
"NCAPG2",0,3.0097550440938,0.544,0.103,0,"1","NCAPG2"
"KIF20B",0,3.38847689733969,0.494,0.065,0,"1","KIF20B"
"CDK1",0,5.87018142645562,0.438,0.01,0,"1","CDK1"
"TPX2",0,5.04279648797976,0.446,0.019,0,"1","TPX2"
"KIF11",0,4.97654493448161,0.437,0.018,0,"1","KIF11"
"ZGRF1",0,2.90195135175807,0.518,0.1,0,"1","ZGRF1"
"RTKN2",0,4.31534651052792,0.448,0.03,0,"1","RTKN2"
"AC011447.3",0,2.33979241948223,0.56,0.146,0,"1","AC011447.3"
"CEP152",0,4.01386390130337,0.449,0.037,0,"1","CEP152"
"PBK",0,5.74668796075628,0.421,0.009,0,"1","PBK"
"CENPP",0,2.07138216949847,0.689,0.278,0,"1","CENPP"
"RACGAP1",0,3.62968659840153,0.461,0.051,0,"1","RACGAP1"
"RAD51AP1",0,4.40277405764716,0.433,0.025,0,"1","RAD51AP1"
"Z94721.1",0,3.77365084463437,0.463,0.058,0,"1","Z94721.1"
"XRCC2",0,3.66344332376228,0.446,0.042,0,"1","XRCC2"
"CLSPN",0,3.73584348054351,0.439,0.037,0,"1","CLSPN"
"CDC25C",0,5.22555432927776,0.417,0.016,0,"1","CDC25C"
"BRCA2",0,4.0006585218137,0.43,0.029,0,"1","BRCA2"
"PARPBP",0,3.9238339184715,0.437,0.037,0,"1","PARPBP"
"AC091057.6",0,4.63318608308618,0.43,0.03,0,"1","AC091057.6"
"NDC80",0,5.47547419517327,0.409,0.011,0,"1","NDC80"
"HMGB2",0,3.73059210333392,0.506,0.109,0,"1","HMGB2"
"DEPDC1B",0,4.00782210062134,0.433,0.037,0,"1","DEPDC1B"
"ECT2",0,4.1472408507936,0.43,0.036,0,"1","ECT2"
"KIF14",0,5.02983006945902,0.412,0.019,0,"1","KIF14"
"CENPU",0,4.02416280910429,0.422,0.029,0,"1","CENPU"
"LMNB1",0,2.67840981350509,0.484,0.092,0,"1","LMNB1"
"BIRC5",0,5.1257966443845,0.401,0.015,0,"1","BIRC5"
"ANLN",0,4.53702116634736,0.402,0.022,0,"1","ANLN"
"ESCO2",0,5.52548652185589,0.389,0.009,0,"1","ESCO2"
"KNTC1",0,2.97378062624674,0.454,0.076,0,"1","KNTC1"
"EXO1",0,4.50628856647851,0.394,0.019,0,"1","EXO1"
"KIFC1",0,5.5984204438632,0.384,0.009,0,"1","KIFC1"
"MYBL2",0,4.47918001961345,0.392,0.019,0,"1","MYBL2"
"MCM10",0,4.42328296224018,0.39,0.019,0,"1","MCM10"
"BLM",0,3.77817018813155,0.406,0.036,0,"1","BLM"
"SMC2",0,2.64597126525472,0.468,0.1,0,"1","SMC2"
"E2F3",0,2.48875397136917,0.483,0.117,0,"1","E2F3"
"DNA2",0,3.08172302151585,0.425,0.062,0,"1","DNA2"
"GEN1",0,2.94822920297783,0.44,0.079,0,"1","GEN1"
"LINC01572",0,2.66253919273848,0.49,0.13,0,"1","LINC01572"
"FBLN1",0,2.13718895625933,0.471,0.113,0,"1","FBLN1"
"BUB1B",0,4.83048981044047,0.37,0.015,0,"1","BUB1B"
"CENPE",0,4.81835982940297,0.371,0.02,0,"1","CENPE"
"VRK1",0,2.53982946038604,0.436,0.085,0,"1","VRK1"
"CHEK1",0,3.05295425888149,0.402,0.054,0,"1","CHEK1"
"TYMS",0,3.73871298485773,0.39,0.047,0,"1","TYMS"
"TACC3",0,4.31933563183298,0.363,0.021,0,"1","TACC3"
"KIF23",0,5.44968365681651,0.35,0.009,0,"1","KIF23"
"MCM3",0,2.8945847987541,0.41,0.071,0,"1","MCM3"
"NCAPD3",0,2.40893917338188,0.43,0.098,0,"1","NCAPD3"
"KIF4A",0,4.10740300154336,0.355,0.024,0,"1","KIF4A"
"ORC6",0,3.68162239223063,0.362,0.031,0,"1","ORC6"
"DBF4",0,2.72450169750328,0.401,0.075,0,"1","DBF4"
"POLE",0,2.74575539614221,0.393,0.067,0,"1","POLE"
"ARHGAP11A",0,4.67814090560939,0.34,0.015,0,"1","ARHGAP11A"
"CHAF1A",0,3.35026241912496,0.358,0.036,0,"1","CHAF1A"
"CDCA7",0,3.91645316064646,0.346,0.024,0,"1","CDCA7"
"CENPJ",0,2.18186914883887,0.42,0.098,0,"1","CENPJ"
"CKAP2",0,2.51197291428081,0.429,0.109,0,"1","CKAP2"
"WDR76",0,2.96789937416039,0.377,0.057,0,"1","WDR76"
"GJC1",0,2.50076552575072,0.387,0.069,0,"1","GJC1"
"ZNF367",0,3.52840794126806,0.352,0.036,0,"1","ZNF367"
"ZNF519",0,2.19211116473258,0.413,0.097,0,"1","ZNF519"
"RRM1",0,2.29724524666206,0.418,0.103,0,"1","RRM1"
"FOXM1",0,3.39993447849533,0.344,0.029,0,"1","FOXM1"
"CEP135",0,2.20615892508504,0.418,0.104,0,"1","CEP135"
"UBE2T",0,3.20387579675379,0.378,0.067,0,"1","UBE2T"
"C2orf48",0,5.88741193891994,0.317,0.007,0,"1","C2orf48"
"KPNA2",0,2.66056172063761,0.457,0.148,0,"1","KPNA2"
"CCDC150",0,2.68982922982496,0.376,0.069,0,"1","CCDC150"
"MXD3",0,2.70064402458468,0.386,0.079,0,"1","MXD3"
"GMNN",0,2.77697578273206,0.376,0.07,0,"1","GMNN"
"NOSTRIN",0,4.37621601320287,0.323,0.02,0,"1","NOSTRIN"
"NCAPD2",0,2.423182765078,0.382,0.079,0,"1","NCAPD2"
"FANCD2",0,3.13661501166904,0.342,0.04,0,"1","FANCD2"
"PRR11",0,4.08892415885883,0.325,0.023,0,"1","PRR11"
"RGS3",0,2.12177791863477,0.458,0.157,0,"1","RGS3"
"NCAPH",0,4.7913338993213,0.312,0.011,0,"1","NCAPH"
"TK1",0,4.83309575097644,0.312,0.012,0,"1","TK1"
"KIF2C",0,4.68426747762431,0.311,0.013,0,"1","KIF2C"
"HIST1H4C",0,3.752671192423,0.451,0.154,0,"1","HIST1H4C"
"CKAP2L",0,5.48339353308627,0.304,0.007,0,"1","CKAP2L"
"IQGAP3",0,5.58482626573163,0.303,0.007,0,"1","IQGAP3"
"TTK",0,5.4407936388711,0.303,0.008,0,"1","TTK"
"DTYMK",0,2.35832146195986,0.391,0.099,0,"1","DTYMK"
"CDCA2",0,5.70813516750234,0.29,0.006,0,"1","CDCA2"
"CDC45",0,4.37227054291566,0.297,0.014,0,"1","CDC45"
"ZWINT",0,4.57215520587401,0.296,0.014,0,"1","ZWINT"
"KIF18A",0,4.73354044479759,0.291,0.012,0,"1","KIF18A"
"E2F1",0,3.9093950876072,0.301,0.022,0,"1","E2F1"
"WEE1",0,2.4478967622456,0.338,0.061,0,"1","WEE1"
"MAD2L1",0,4.23903883515568,0.301,0.024,0,"1","MAD2L1"
"LIG1",0,2.43237538599569,0.34,0.066,0,"1","LIG1"
"ZNF730",0,2.09592192150849,0.37,0.098,0,"1","ZNF730"
"STIL",0,3.52706440888567,0.3,0.029,0,"1","STIL"
"CENPO",0,2.71980024505327,0.32,0.05,0,"1","CENPO"
"MND1",0,2.52837365372264,0.32,0.051,0,"1","MND1"
"KIF22",0,2.52173112794775,0.337,0.068,0,"1","KIF22"
"CDCA5",0,4.49769034794696,0.28,0.012,0,"1","CDCA5"
"CENPI",0,4.23194754790376,0.286,0.019,0,"1","CENPI"
"TTF2",0,2.46863967896227,0.335,0.069,0,"1","TTF2"
"POLA2",0,2.95145604184854,0.308,0.042,0,"1","POLA2"
"SPC24",0,4.34098077996463,0.281,0.015,0,"1","SPC24"
"FBXO5",0,4.30971015155672,0.284,0.018,0,"1","FBXO5"
"UBE2C",0,5.39132659948376,0.278,0.013,0,"1","UBE2C"
"GAS2L3",0,4.04399110845871,0.289,0.024,0,"1","GAS2L3"
"WDHD1",0,2.20096771850776,0.344,0.081,0,"1","WDHD1"
"SGO1",0,4.69639905980193,0.272,0.01,0,"1","SGO1"
"SGO2",0,3.73672608711916,0.291,0.029,0,"1","SGO2"
"HJURP",0,5.97865004763324,0.265,0.004,0,"1","HJURP"
"TUBA1B",0,2.034007826983,0.598,0.337,0,"1","TUBA1B"
"DLGAP5",0,5.37474894812837,0.266,0.006,0,"1","DLGAP5"
"DSCC1",0,3.89509077331866,0.277,0.019,0,"1","DSCC1"
"NEMP1",0,2.47996293065101,0.316,0.059,0,"1","NEMP1"
"UHRF1",0,3.83589436436988,0.274,0.018,0,"1","UHRF1"
"BUB1",0,5.77195155424198,0.261,0.006,0,"1","BUB1"
"TROAP",0,5.82921820193011,0.261,0.006,0,"1","TROAP"
"SKA3",0,4.15043355949445,0.268,0.013,0,"1","SKA3"
"BARD1",0,3.0987496123351,0.29,0.036,0,"1","BARD1"
"MCM6",0,2.88698340741938,0.298,0.045,0,"1","MCM6"
"CENPH",0,3.18683215928236,0.287,0.034,0,"1","CENPH"
"PCNA",0,3.2060408313646,0.311,0.059,0,"1","PCNA"
"GINS1",0,3.11805776588322,0.283,0.032,0,"1","GINS1"
"MCM8",0,2.43595428635293,0.313,0.063,0,"1","MCM8"
"WDR62",0,3.82929072954466,0.27,0.02,0,"1","WDR62"
"NEIL3",0,5.93212932102567,0.252,0.005,0,"1","NEIL3"
"AC008543.1",0,2.47936768736911,0.302,0.056,0,"1","AC008543.1"
"DSN1",0,2.97071137959447,0.281,0.038,0,"1","DSN1"
"PTTG1",0,4.76224353845923,0.259,0.016,0,"1","PTTG1"
"MASTL",0,2.66314251327294,0.288,0.045,0,"1","MASTL"
"CKS2",0,3.62739683667439,0.283,0.04,0,"1","CKS2"
"CCNB1",0,4.63497304456834,0.258,0.016,0,"1","CCNB1"
"RFWD3",0,2.33756899774728,0.308,0.066,0,"1","RFWD3"
"USP1",0,2.07968214770466,0.331,0.091,0,"1","USP1"
"PRC1",0,4.06589001181435,0.259,0.019,0,"1","PRC1"
"ESPL1",0,4.85141675379528,0.247,0.009,0,"1","ESPL1"
"H2AFX",0,3.52081376388026,0.272,0.035,0,"1","H2AFX"
"ANP32E",0,2.4678210718626,0.319,0.082,0,"1","ANP32E"
"GGH",0,2.2534328874954,0.3,0.063,0,"1","GGH"
"GINS2",0,3.2115335396683,0.268,0.033,0,"1","GINS2"
"DDX11",0,2.05295255694656,0.31,0.075,0,"1","DDX11"
"MCM4",0,2.13700242908016,0.301,0.069,0,"1","MCM4"
"FANCB",0,3.80739891519047,0.248,0.018,0,"1","FANCB"
"ZNF732",0,3.69664753964758,0.248,0.019,0,"1","ZNF732"
"CENPM",0,3.74996792353227,0.249,0.021,0,"1","CENPM"
"ENDOG",0,3.6881004377877,0.255,0.031,0,"1","ENDOG"
"AC016205.1",0,3.4752858821382,0.283,0.061,0,"1","AC016205.1"
"TBC1D31",0,2.19712401049471,0.293,0.072,0,"1","TBC1D31"
"PLK4",0,3.63865351332966,0.234,0.017,0,"1","PLK4"
"CDKN3",0,3.87109248525088,0.236,0.019,0,"1","CDKN3"
"PKMYT1",0,4.80750840385681,0.226,0.009,0,"1","PKMYT1"
"FAM111B",0,5.0707108963156,0.223,0.007,0,"1","FAM111B"
