"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAMA2",0,5.13682174458111,0.721,0.063,0,"10","LAMA2"
"IGFBP7",0,2.71393923459461,0.793,0.154,0,"10","IGFBP7"
"PRKG1",0,3.02645915679251,0.71,0.135,0,"10","PRKG1"
"COL1A2",0,3.44541678429223,0.617,0.066,0,"10","COL1A2"
"BNC2",0,4.02008435180013,0.643,0.098,0,"10","BNC2"
"BICC1",0,4.48504196931091,0.641,0.098,0,"10","BICC1"
"COL4A2",0,2.90636889712249,0.71,0.168,0,"10","COL4A2"
"NR2F2-AS1",0,3.46913754256893,0.621,0.081,0,"10","NR2F2-AS1"
"COL4A1",0,3.11530860666646,0.693,0.153,0,"10","COL4A1"
"EGFR",0,4.69195095164285,0.584,0.057,0,"10","EGFR"
"CRISPLD2",0,4.67664335894527,0.564,0.041,0,"10","CRISPLD2"
"COL6A3",0,4.85821011252616,0.545,0.027,0,"10","COL6A3"
"PARD3B",0,3.27820352171476,0.707,0.193,0,"10","PARD3B"
"NFIA",0,3.08341401382659,0.722,0.217,0,"10","NFIA"
"ARHGAP10",0,3.71686550852704,0.627,0.125,0,"10","ARHGAP10"
"CFH",0,4.51302530457166,0.541,0.043,0,"10","CFH"
"LHFPL6",0,3.22557493121627,0.704,0.215,0,"10","LHFPL6"
"C7",0,5.07943101314474,0.513,0.034,0,"10","C7"
"EPS8",0,3.41537138511677,0.58,0.112,0,"10","EPS8"
"COL3A1",0,3.44370141294927,0.519,0.053,0,"10","COL3A1"
"COL1A1",0,3.22057244050073,0.498,0.043,0,"10","COL1A1"
"UACA",0,3.2922862291131,0.509,0.086,0,"10","UACA"
"COL6A2",0,3.30335309939994,0.501,0.083,0,"10","COL6A2"
"RBPMS",0,2.4954668081064,0.586,0.168,0,"10","RBPMS"
"ABCA6",0,4.29193059982853,0.455,0.058,0,"10","ABCA6"
"DCN",0,4.20693147909701,0.416,0.019,0,"10","DCN"
"MAML2",0,2.00887940546606,0.697,0.302,0,"10","MAML2"
"COL5A2",0,2.83142314975765,0.489,0.095,0,"10","COL5A2"
"CALD1",0,2.8379835077414,0.782,0.393,0,"10","CALD1"
"SULF1",0,4.32035787565453,0.425,0.036,0,"10","SULF1"
"PTPRG",0,2.20125211028109,0.72,0.338,0,"10","PTPRG"
"AC012409.2",0,3.26398034888317,0.438,0.06,0,"10","AC012409.2"
"FBN1",0,3.20361813915014,0.466,0.09,0,"10","FBN1"
"TACC1",0,3.40535002718034,0.636,0.261,0,"10","TACC1"
"PEAK1",0,2.51922866963352,0.599,0.227,0,"10","PEAK1"
"PLSCR4",0,3.31963488374714,0.434,0.063,0,"10","PLSCR4"
"CYR61",0,2.92852710091744,0.438,0.07,0,"10","CYR61"
"ABCA9",0,4.61410830694481,0.413,0.046,0,"10","ABCA9"
"CDH11",0,3.82888148430996,0.435,0.073,0,"10","CDH11"
"NID1",0,3.36226807310179,0.432,0.07,0,"10","NID1"
"THBS1",0,3.18319416632302,0.423,0.065,0,"10","THBS1"
"ADAMTS9-AS2",0,2.2147488537142,0.537,0.183,0,"10","ADAMTS9-AS2"
"ABCA8",0,3.64657388185993,0.408,0.055,0,"10","ABCA8"
"PDE3A",0,2.59296428447068,0.603,0.251,0,"10","PDE3A"
"FLRT2",0,3.97790989725136,0.449,0.098,0,"10","FLRT2"
"OSMR",0,3.60525332047955,0.434,0.087,0,"10","OSMR"
"MGP",0,3.14442265432126,0.395,0.05,0,"10","MGP"
"VCAN",0,2.59780343919629,0.471,0.126,0,"10","VCAN"
"ZBTB16",0,2.85025418799927,0.505,0.161,0,"10","ZBTB16"
"TFPI",0,3.08040334817023,0.402,0.059,0,"10","TFPI"
"ABCA10",0,4.51668830478023,0.432,0.091,0,"10","ABCA10"
"PLEKHH2",0,4.6081803700722,0.358,0.028,0,"10","PLEKHH2"
"SLC2A3",0,2.32029654656334,0.477,0.149,0,"10","SLC2A3"
"ADAMTSL3",0,4.80593274249663,0.362,0.036,0,"10","ADAMTSL3"
"PRRX1",0,4.43664959664486,0.346,0.02,0,"10","PRRX1"
"SVIL",0,2.49013061138842,0.561,0.238,0,"10","SVIL"
"LAMB1",0,2.84025000947603,0.542,0.223,0,"10","LAMB1"
"CCDC102B",0,3.72613660959836,0.468,0.149,0,"10","CCDC102B"
"STK3",0,2.16915453715617,0.475,0.159,0,"10","STK3"
"CBLB",0,2.13710145967397,0.657,0.343,0,"10","CBLB"
"MYOF",0,2.93911673149642,0.393,0.079,0,"10","MYOF"
