"iNMF1","iNMF2","iNMF3","iNMF4","iNMF5","iNMF6","iNMF7","iNMF8","iNMF9","iNMF10","iNMF11","iNMF12","iNMF13","iNMF14","iNMF15","iNMF16","iNMF17","iNMF18","iNMF19","iNMF20"
"AGBL4","AOAH","ST6GAL1","FILIP1L","ARIH1","TUBB2A","PDGFC","CALM1","CASQ2","ROR2","SPATA22","PTPN14","PARPBP","SPARCL1","RORA","RPL35","RPS16","APOC1","COL4A1","DOCK3"
"PTPRD","CD3G","OSBPL10","C9orf84","URI1","NSG1","MS4A4E","MZT2B","TPM1","COL6A2","KCNS3","SWAP70","ARHGAP11A","TCF4","TBX3","RPL24","RPS20","FGR","GSN","LINC01435"
"STXBP5L","PYHIN1","TCL1A","KANSL1L","KAT6A","TMEM130","FAM49A","DYNLRB1","ADIRF","YAP1","CHST9","ID1","ECT2","ESAM","LUZP2","RPS4X","RPL28","SPI1","FBN1","LHFPL3"
"FGF14","APBB1IP","STX7","TCF4-AS1","NAA15","NSG2","SFMBT2","CIRBP","HES4","OSMR","PRIMA1","PTPRM","NEIL3","RHOJ","ADGRV1","RPL7A","RPLP2","NCF2","MXRA8","HS6ST3"
"TENM3","RUNX3","CNR2","ZNF213","MON2","ENO2","MANBA","MYL6B","TBX2","AC012409.2","CADM2","PIK3C2B","KIF2C","TM4SF18","PAM","RACK1","RPL35","HLA-DQA1","COL18A1","ADCY8"
"GRIA2","CNOT6L","HLA-DQB1","AC058822.1","WAC","L1CAM","KCNMA1","PCSK1N","STEAP4","PRRX1","MPZ","PALMD","UBE2C","GJA1","COBLL1","RPLP1","RPL37A","CSF3R","EFEMP2","AC114316.2"
"SEMA6D","CAMK4","DAPP1","AC019197.1","N4BP2L2","PRPH","ADAP2","YWHAH","CSPG4","SERPINE1","COL28A1","SYNJ2","SPC25","KANK3","CREM","RPS6","RPLP0","C5AR1","CYR61","CNTN5"
"SYT1","HLA-B","CD79A","TOM1L1","UBE2K","SARAF","QKI","ANAPC11","KCNAB1","TNC","TSPAN11","KCNJ2","ATAD2","ITGA6","MAP3K5","RPS27A","RPL36","MPEG1","S100A6","AP005230.1"
"UNC79","CCND3","FCRL5","AP000311.1","RBM39","OLFM1","ITPR2","NDUFB7","CCDC102B","FGF7","ADGRG6","CRIM1","AC091057.6","DOCK9","KCNQ1","RPS19","RPL38","FCGR3A","IGFBP7","PTPRD"
"SCN3A","STK4","SP100","KCNQ1","PDS5A","MT-ND5","CPVL","DCTN2","COL18A1","IGFBP7","SPATA6","BMX","DEPDC1B","PALMD","SORBS2","RPS23","RPS7","CYBA","LTBP2","LINC01170"
"ZFHX3","ANKRD44","ANKRD44","ZBTB20-AS5","EHMT1","TUBB","CD86","HSP90AB1","JAG1","PEAK1","RASGEF1C","JAG2","NDC80","PKP4","FHIT","RPSA","RPL3","CTSH","HTRA1","AGBL1"
"SRRM4","EMB","AC120193.1","OMG","ZNF148","NORAD","BMP2K","CKB","ITGA7","PALLD","AC008056.1","THSD7A","NUF2","RAI14","ATRNL1","RPL10A","BAIAP2L1","CTSB","MMP14","ERVMER61-1"
"CAMTA1","GRAP2","MARCH1","RAB11A","GOLGA4","SEZ6L2","CLEC7A","NDUFB2","TAGLN","MYOF","LGI4","FLT1","HJURP","PCAT19","ALAS1","RPS14","RPL27","B2M","IGFBP2","RALYL"
"RYR2","CLEC2D","TMEM156","NUP210L","KMT2C","RTN1","MS4A4A","NLRP1","LPP","FLRT2","CHL1","PODXL","CIT","ELK3","AC098864.1","RPS10","RPS9","C1QB","THY1","DLGAP1"
"SGIP1","TNFAIP8","FCRL2","AC009690.2","MED13","CANX","RAB31","DCTN3","MFGE8","CRISPLD2","ARHGEF26","DOCK9","TTK","PTPRM","TGFBR3","RPS2","RPS12","APOE","IGFBP6","CCSER1"
"CACNA1B","CD6","SP140","AC244517.11","CCNY","VAT1","FMNL2","PSMC5","PDE3A","ADAM12","PLP1","S1PR1","DTL","PODXL","CYB5B","RPL35A","RPL34","C1QC","ITGB1","HCN1"
"RIMS1","B2M","CD83","NBAT1","ATXN2","CLU","DOCK4","CCT3","IGFBP7","ZFPM2","SEMA3B","MET","BUB1B","EMP1","P3H2","RPL28","RPL6","S100A9","MFGE8","MTUS2"
