"","x"
"1","HTAPP-312-SMP-901_fresh-T1_channel1"
"2","HTAPP-656-SMP-3481_fresh-T1_channel1"
"3","HTAPP-312-SMP-902_fresh-C4-T2_channel1"
"4","HTAPP-312-SMP-902_fresh-LTM-T2_channel1"
"5","HTAPP-797-SMP-4232_fresh-papain_channel1"
"6","HTAPP-797-SMP-4232_fresh-papain_channel2"
"7","HTAPP-813-SMP-6848_fresh_channel1"
"8","HTAPP-813-SMP-6848_fresh_channel2"
"9","HTAPP-672-SMP-8509_fresh_channel1"
"10","HTAPP-672-SMP-8509_fresh_channel2"
"11","HTAPP-159-SMP-171_fresh_channel1"
"12","HTAPP-163-SMP-181_fresh_channel1"
"13","HTAPP-164-SMP-191_fresh_channel1"
"14","HTAPP-166-SMP-201_fresh_channel1"
"15","HTAPP-167-SMP-211_fresh_channel1"
"16","HTAPP-168-SMP-221_fresh_channel1"
"17","HTAPP-168-SMP-221_fresh_channel2"
"18","HTAPP-931-SMP-7448_fresh_channel1"
"19","HTAPP-233-SMP-361_TST_channel1"
"20","HTAPP-244-SMP-451_CST_channel1"
"21","HTAPP-244-SMP-451_EZ_channel1"
"22","HTAPP-244-SMP-451_NST_channel1"
"23","HTAPP-244-SMP-451_TST_channel1"
"24","HTAPP-352-SMP-1231_TST_channel1"
"25","HTAPP-352-SMP-1231_TST_channel2"
"26","HTAPP-376-SMP-1381_TST_channel1"
"27","HTAPP-376-SMP-1381_TST_channel2"
"28","HTAPP-396-SMP-1621_TST_channel1"
"29","HTAPP-437-SMP-1861_TST_channel1"
"30","HTAPP-437-SMP-1861_TST_channel2"
"31","HTAPP-621-SMP-3181_TST_channel1"
"32","HTAPP-621-SMP-3181_TST_channel2"
"33","HTAPP-204-SMP-6601_TST-Anand_channel1"
"34","HTAPP-204-SMP-6601_TST-Michal_channel1"
"35","HTAPP-656-SMP-3481_TST_channel1"
"36","HTAPP-756-SMP-6779_CST_channel1"
"37","HTAPP-756-SMP-6779_TST_channel1"
"38","HTAPP-768-SMP-6781_TST_channel1"
"39","HTAPP-768-SMP-6781_TST_channel2"
"40","HTAPP-800-SMP-6783_TST_channel1"
"41","HTAPP-800-SMP-6783_TST_channel2"
"42","HTAPP-683-SMP-6769_TST_channel1"
"43","HTAPP-683-SMP-6769_TST_channel2"
"44","HTAPP-766-SMP-6780_TST_channel1"
"45","HTAPP-766-SMP-6780_TST_channel2"
"46","HTAPP-527-SMP-6767_TST_channel1"
"47","HTAPP-527-SMP-6767_TST_channel2"
"48","HTAPP-800-SMP-6784_TST_channel1"
"49","HTAPP-800-SMP-6784_TST_channel2"
"50","HTAPP-116-SMP-31_TST_channel1"
"51","HTAPP-116-SMP-31_TST_channel2"
"52","HTAPP-114-SMP-21_TST_channel1"
"53","HTAPP-114-SMP-21_TST_channel2"
"54","HTAPP-125-SMP-71_TST_channel1"
"55","HTAPP-125-SMP-71_TST_channel2"
"56","HTAPP-100-SMP-1_TST_channel1"
"57","HTAPP-100-SMP-1_TST_channel2"
"58","HTAPP-123-SMP-51_TST_channel1"
"59","HTAPP-123-SMP-51_TST_channel2"
"60","HTAPP-120-SMP-41_TST_channel1"
"61","HTAPP-120-SMP-41_TST_channel2"
"62","HTAPP-148-SMP-141_TST_channel1"
"63","HTAPP-148-SMP-141_TST_channel2"
"64","HTAPP-136-SMP-102_TST_channel1"
"65","HTAPP-136-SMP-102_TST_channel2"
"66","HTAPP-141-SMP-111_TST_channel1"
"67","HTAPP-141-SMP-111_TST_channel2"
"68","HTAPP-126-SMP-81_TST_channel1"
"69","HTAPP-126-SMP-81_TST_channel2"
"70","HTAPP-130-SMP-91_TST_channel1"
"71","HTAPP-130-SMP-91_TST_channel2"
"72","HTAPP-102-SMP-11_TST_channel1"
"73","HTAPP-102-SMP-11_TST_channel2"
"74","HTAPP-145-SMP-121_TST_channel1"
"75","HTAPP-145-SMP-121_TST_channel2"
"76","HTAPP-146-SMP-131_TST_channel1"
"77","HTAPP-146-SMP-131_TST_channel2"
"78","HTAPP-155-SMP-151_TST_channel1"
"79","HTAPP-155-SMP-151_TST_channel2"
"80","HTAPP-171-SMP-231_TST_channel1"
"81","HTAPP-184-SMP-241_TST_channel1"
"82","HTAPP-194-SMP-251_TST_channel1"
"83","HTAPP-195-SMP-261_TST_channel1"
"84","HTAPP-196-SMP-271_TST_channel1"
"85","HTAPP-198-SMP-281_TST_channel1"
"86","HTAPP-141-SMP-119_TST_channel1"
"87","HTAPP-829-SMP-6975_TST_channel1"
"88","HTAPP-803-SMP-6786_TST_channel1"
"89","HTAPP-811-SMP-6832_TST_channel1"
"90","HTAPP-811-SMP-6833_TST_channel1"
"91","HTAPP-811-SMP-6834_TST_channel1"
