MESENCHYMAL,ADRENERGIC
A2M,ABCA3
ABRACL,ABCB1
ACADVL,ABLIM1
ACAP2,ACOT7
ACTA2,ACTL6B
ACTN1,ACVR1B
ADAM19,ADAM22
ADAM9,ADCYAP1R1
ADAMTS5,ADGRB3
ADGRE5,ADRBK2
ADGRG6,AGTPBP1
AEBP1,AHSA1
AJUBA,AKAP1
ALDH1A3,AKAP12
AMMECR1,ALK
ANTXR1,ANK2
ANXA1,ANKRD46
ANXA2,ANP32A
ANXA5,AP1S2
ANXA6,ARHGEF7
APOE,ARL6IP1
APP,ASCL1
ARHGAP1,ASRGL1
ARHGEF40,ATCAY
ARL1,ATL1
ARL4A,ATP6V0E2
ARMCX2,ATP6V1B2
ARPC1B,AUTS2
ASPH,BEND4
ATP10D,BEX1
ATP1B1,BEX2
ATP2B1,BIRC5
ATP2B4,BMP7
ATP6V0E1,BMPR1B
ATP8B2,C11orf95
ATXN1,C14orf132
B2M,C3orf14
BAG3,C4orf48
BGN,C7orf55
BMP5,CACNA1B
BNC2,CACNA2D2
BOC,CADM1
BTN3A2,CAMSAP1
C1orf198,CCDC167
C1orf54,CCND1
C4orf32,CCNI
C6orf120,CCP110
CALD1,CCSAP
CALU,CD200
CAPN2,CDC42EP3
CAPN6,CDCA5
CBFB,CDKN2C
CBLB,CDKN3
CCDC80,CELF2
CD164,CENPU
CD44,CENPV
CD59,CEP44
CD63,CERK
CDH11,CETN3
CETN2,CHGA
CFH,CHGB
CFI,CHML
CILP,CHRNA3
CKAP4,CKB
CLIC4,CLASP2
CMTM3,CLGN
CMTM6,CRH
CNN3,CRMP1
COL11A1,CSE1L
COL12A1,CXADR
COL1A1,CXCR4
COL27A1,CYFIP2
COL3A1,CYGB
COL4A1,DACH1
COL4A2,DAPK1
COL5A1,DBH
COL5A2,DCX
COL6A1,DDC
COL6A2,DDX39A
COL6A3,DIABLO
COPA,DKK1
CPED1,DLK1
CPS1,DNAJB1
CRABP2,DNAJC6
CREB3L2,DNAJC9
CREG1,DNER
CRELD2,DPYSL2
CRISPLD1,DPYSL3
CRTAP,DPYSL5
CSRP1,DTD1
CTDSP2,DUSP4
CTNNA1,EEF1A2
CTSB,EIF1B
CTSC,ELAVL2
