stress_module_Biermann,stress_vanBrink
BAG3,ACTG1
BLOC1S5-TXNDC5,BTG1
CALU,CXCL1
DNAJB1,DNAJB4
DUSP1,ERRFI1
EGR1,H3F3B
FOS,HSPB1
FOSB,IRF1
HIF1A,KLF6
HSP90AA1,MIR22HG
HSP90AB1,NFKBIA
HSP90AB2P,PCF11
HSP90AB3P,PXDC1
HSP90B1,SDC4
HSPA1A,SRF
HSPA1B,TPM3
HSPA6,USP2
HSPB1,GADD45G
HSPH1,ANKRD1
IER2,BTG2
JUN,CYR61
JUNB,DUSP1
NFKBIA,FAM132B
NFKBIZ,HIPK3
RGS2,HSPH1
SLC2A3,IRF8
SOCS3,KLF9
UBC,MT1
ZFAND2A,NFKBIZ
ZFP36,PDE4B
ZFP36L1,RAP1B
,SERPINE1
,SRSF5
,TPPP3
,WAC
,HSPE1
,ARID5A
,CCNL1
,DCN
,DUSP8
,FOS
,HSP90AA1
,ID3
,ITPKC
,LITAF
,MT2
,NOP58
,PER1
,RASSF1
,SKIL
,SRSF7
,TRA2A
,ZC3H12A
,IER5
,ATF3
,CCRN4L
,DDX3X
,EGR1
,FOSB
,HSP90AB1
,IDI1
,JUN
,LMNA
,MYADM
,NPPC
,PHLDA1
,RHOB
,SLC10A6
,STAT3
,TRA2B
,ZFAND5
,KCNE4
,ATF4
,CEBPB
,DDX5
,EGR2
,FOSL2
,HSPA1A
,IER2
,JUNB
,MAFF
,MYC
,NR4A1
,PNP
,RHOH
,SLC38A2
,TAGLN2
,TRIB1
,ZFP36
,BAG3
,CEBPD
,DES
,EIF1
,GADD45A
,HSPA1B
,IER3
,JUND
,MAFK
,MYD88
,ODC1
,PNRC1
,RIPK1
,SLC41A1
,TIPARP
,TUBB4B
,ZFP36L1
,BHLHE40
,CEBPG
,DNAJA1
,EIF5
,GCC1
,HSPA5
,IFRD1
,KLF2
,MCL1
,NCKAP5L
,OSGIN1
,PPP1CC
,SAT1
,SOCS3
,TNFAIP3
,TUBB6
,ZFP36L2
,BRD2
,CSRNP1
,DNAJB1
,ERF
,GEM
,HSPA8
,IL6
,KLF4
,MIDN
,NCOA7
,OXNAD1
,PPP1R15A
,SBNO2
,SQSTM1
,TNFAIP6
,UBC
,ZYX
