Sample,confidence
HTAPP-312-SMP-901_fresh-T1_channel1,SNV+CNV
HTAPP-656-SMP-3481_fresh-T1_channel1,CNV
HTAPP-312-SMP-902_fresh-C4-T2_channel1,SNV+CNV
HTAPP-312-SMP-902_fresh-LTM-T2_channel1,SNV+CNV
HTAPP-797-SMP-4232_fresh-papain_channel1,CNV
HTAPP-797-SMP-4232_fresh-papain_channel2,CNV
HTAPP-813-SMP-6848_fresh_channel1,SNV+CNV
HTAPP-813-SMP-6848_fresh_channel2,SNV+CNV
HTAPP-672-SMP-8509_fresh_channel1,SNV+CNV
HTAPP-672-SMP-8509_fresh_channel2,SNV+CNV
HTAPP-159-SMP-171_fresh_channel1,SNV+CNV
HTAPP-163-SMP-181_fresh_channel1,SNV+CNV
HTAPP-164-SMP-191_fresh_channel1,SNV+CNV
HTAPP-166-SMP-201_fresh_channel1,CNV
HTAPP-167-SMP-211_fresh_channel1,CNV
HTAPP-168-SMP-221_fresh_channel1,SNV+CNV
HTAPP-168-SMP-221_fresh_channel2,SNV+CNV
HTAPP-931-SMP-7448_fresh_channel1,SNV+CNV
HTAPP-233-SMP-361_TST_channel1,SNV+CNV
HTAPP-244-SMP-451_CST_channel1,SNV+CNV
HTAPP-244-SMP-451_EZ_channel1,SNV+CNV
HTAPP-244-SMP-451_NST_channel1,SNV+CNV
HTAPP-244-SMP-451_TST_channel1,SNV+CNV
HTAPP-352-SMP-1231_TST_channel1,CNV
HTAPP-352-SMP-1231_TST_channel2,CNV
HTAPP-376-SMP-1381_TST_channel1,CNV
HTAPP-376-SMP-1381_TST_channel2,CNV
HTAPP-396-SMP-1621_TST_channel1,CNV
HTAPP-437-SMP-1861_TST_channel1,SNV+CNV
HTAPP-437-SMP-1861_TST_channel2,SNV+CNV
HTAPP-621-SMP-3181_TST_channel1,SNV+CNV
HTAPP-621-SMP-3181_TST_channel2,SNV+CNV
HTAPP-204-SMP-6601_TST-Anand_channel1,SNV+CNV
HTAPP-204-SMP-6601_TST-Michal_channel1,SNV+CNV
HTAPP-656-SMP-3481_TST_channel1,SNV+CNV
HTAPP-756-SMP-6779_CST_channel1,SNV+CNV
HTAPP-756-SMP-6779_TST_channel1,SNV+CNV
HTAPP-768-SMP-6781_TST_channel1,SNV+CNV
HTAPP-768-SMP-6781_TST_channel2,SNV+CNV
HTAPP-800-SMP-6783_TST_channel1,SNV+CNV
HTAPP-800-SMP-6783_TST_channel2,SNV+CNV
HTAPP-683-SMP-6769_TST_channel1,SNV+CNV
HTAPP-683-SMP-6769_TST_channel2,SNV+CNV
HTAPP-766-SMP-6780_TST_channel1,CNV
HTAPP-766-SMP-6780_TST_channel2,CNV
HTAPP-527-SMP-6767_TST_channel1,SNV+CNV
HTAPP-527-SMP-6767_TST_channel2,SNV+CNV
HTAPP-800-SMP-6784_TST_channel1,SNV+CNV
HTAPP-800-SMP-6784_TST_channel2,SNV+CNV
HTAPP-116-SMP-31_TST_channel1,SNV+CNV
HTAPP-116-SMP-31_TST_channel2,SNV+CNV
HTAPP-114-SMP-21_TST_channel1,SNV+CNV
HTAPP-114-SMP-21_TST_channel2,SNV+CNV
HTAPP-125-SMP-71_TST_channel1,SNV+CNV
HTAPP-125-SMP-71_TST_channel2,SNV+CNV
HTAPP-100-SMP-1_TST_channel1,SNV+CNV
HTAPP-100-SMP-1_TST_channel2,SNV+CNV
HTAPP-123-SMP-51_TST_channel1,SNV+CNV
HTAPP-123-SMP-51_TST_channel2,SNV+CNV
HTAPP-120-SMP-41_TST_channel1,SNV+CNV
HTAPP-120-SMP-41_TST_channel2,SNV+CNV
HTAPP-148-SMP-141_TST_channel1,SNV+CNV
HTAPP-148-SMP-141_TST_channel2,SNV+CNV
HTAPP-136-SMP-102_TST_channel1,SNV+CNV
HTAPP-136-SMP-102_TST_channel2,SNV+CNV
HTAPP-141-SMP-111_TST_channel1,SNV+CNV
HTAPP-141-SMP-111_TST_channel2,SNV+CNV
HTAPP-126-SMP-81_TST_channel1,SNV+CNV
HTAPP-126-SMP-81_TST_channel2,SNV+CNV
HTAPP-130-SMP-91_TST_channel1,SNV+CNV
HTAPP-130-SMP-91_TST_channel2,SNV+CNV
HTAPP-102-SMP-11_TST_channel1,SNV+CNV
HTAPP-102-SMP-11_TST_channel2,SNV+CNV
HTAPP-145-SMP-121_TST_channel1,CNV
HTAPP-145-SMP-121_TST_channel2,CNV
HTAPP-146-SMP-131_TST_channel1,SNV+CNV
HTAPP-146-SMP-131_TST_channel2,SNV+CNV
HTAPP-155-SMP-151_TST_channel1,SNV+CNV
HTAPP-155-SMP-151_TST_channel2,SNV+CNV
HTAPP-171-SMP-231_TST_channel1,SNV+CNV
HTAPP-184-SMP-241_TST_channel1,SNV+CNV
HTAPP-194-SMP-251_TST_channel1,SNV+CNV
HTAPP-195-SMP-261_TST_channel1,SNV+CNV
HTAPP-196-SMP-271_TST_channel1,SNV+CNV
HTAPP-198-SMP-281_TST_channel1,SNV+CNV
HTAPP-141-SMP-119_TST_channel1,SNV+CNV
HTAPP-829-SMP-6975_TST_channel1,SNV+CNV
HTAPP-803-SMP-6786_TST_channel1,SNV+CNV
HTAPP-811-SMP-6832_TST_channel1,SNV+CNV
HTAPP-811-SMP-6833_TST_channel1,SNV+CNV
HTAPP-811-SMP-6834_TST_channel1,SNV+CNV
